LabelName
"Acadia NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"10,411","13,045","22,476","105,126","327,466","603,023","791,358","785,236","697,292","521,646","70,675","22,506","3,970,260",-2.4%
2021,"20,268","16,123","38,060","110,096","324,654","661,919","782,146","795,437","667,301","557,624","81,089","14,381","4,069,098",52.5%
2020,"12,640","13,459","28,539","55,713","103,120","201,156","493,971","681,746","500,320","480,859","76,251","21,260","2,669,034",-22.4%
2019,"8,532","9,154","20,161","68,046","226,156","490,720","756,439","759,735","603,273","436,194","46,011","12,865","3,437,286",-2.8%
2018,"11,974","12,167","23,756","72,858","249,050","499,163","759,165","767,219","600,397","488,204","40,930","12,692","3,537,575",0.8%
2017,"15,520","14,342","20,936","85,267","222,978","476,191","743,529","762,436","595,388","507,594","53,006","12,084","3,509,271",6.2%
2016,"17,204","16,530","28,121","94,199","217,147","445,410","696,854","735,945","570,434","412,416","55,022","14,111","3,303,393",17.5%
2015,"12,578","10,626","18,062","63,214","187,205","359,661","606,597","666,767","479,320","344,362","48,912","13,880","2,811,184",9.7%
2014,"10,459","10,258","17,502","57,211","153,013","338,845","561,073","638,152","418,173","313,920","31,013","13,510","2,563,129",13.7%
2013,"11,249","9,869","20,631","47,090","133,653","315,791","555,308","617,306","400,400","94,904","41,181","7,540","2,254,922",-7.2%
2012,"11,930","12,388","22,684","59,471","157,406","309,198","539,234","574,307","391,810","302,932","38,385","11,307","2,431,052",2.4%
2011,"10,428","9,533","19,510","58,307","132,720","297,222","559,892","583,153","387,868","270,477","34,192","11,343","2,374,645",-5.2%
2010,"10,510","13,398","26,080","57,992","169,898","286,635","545,382","627,918","431,001","289,114","36,736","9,544","2,504,208",12.4%
2009,"9,366","9,751","19,258","59,277","129,885","244,780","457,622","586,446","399,789","258,007","44,042","9,475","2,227,698",7.3%
2008,"10,744","11,131","17,489","53,798","125,679","263,542","470,295","514,443","319,582","246,533","32,759","9,862","2,075,857",-5.7%
