LabelName
"Badlands NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"12,671","12,866","25,276","34,943","98,542","204,969","224,054","184,816","121,571","61,115","19,720","6,266","1,006,809",-17.8%
2021,"14,899","11,350","28,182","42,749","109,764","256,041","288,004","236,282","138,477","66,941","23,432","8,105","1,224,226",33.5%
2020,"10,145","9,979","17,183","17,290","55,637","167,784","238,875","220,523","109,186","40,508","18,926","10,896","916,932",-5.6%
2019,"8,981","8,059","16,517","25,083","71,885","201,516","250,898","207,743","118,262","37,727","15,450","8,877","970,998",-3.8%
2018,"10,610","9,456","16,616","21,343","84,527","208,645","263,863","217,350","116,826","33,527","16,442","9,737","1,008,942",-4.3%
2017,"10,380","11,149","21,498","23,166","85,967","213,966","263,506","237,125","127,598","33,426","16,807","9,737","1,054,325",5.8%
2016,"10,826","10,921","20,501","22,812","78,863","196,209","249,194","217,071","129,350","33,380","17,970","9,166","996,263",0.7%
2015,"10,414","10,942","21,924","27,193","68,239","191,593","245,400","231,866","117,724","34,498","16,771","12,790","989,354",14.0%
2014,"9,548","8,671","15,898","25,054","63,131","168,011","210,370","208,807","96,882","36,929","13,973","10,820","868,094",-2.7%
2013,"11,882","11,033","18,258","20,750","65,043","177,507","225,096","208,579","104,029","25,530","16,663","8,002","892,372",1.0%
2012,"9,660","10,908","22,784","31,658","72,568","162,676","209,064","189,830","103,606","40,449","17,791","12,412","883,406",1.5%
2011,"6,646","6,818","16,375","20,652","58,637","169,056","217,178","188,638","116,187","40,910","17,133","12,511","870,741",-10.9%
2010,"6,696","6,722","7,752","23,423","71,909","192,904","238,189","230,914","130,822","46,929","13,368","8,150","977,778",4.7%
2009,"7,332","7,639","11,875","25,911","69,831","189,139","249,779","215,299","105,471","32,610","12,886","6,146","933,918",10.4%
2008,"7,836","7,351","13,937","19,620","62,637","169,249","216,713","201,226","94,323","36,505","9,329","7,008","845,734",-4.6%
2007,"14,820","7,448","15,319","24,350","68,211","177,612","217,962","201,031","95,505","42,105","14,174","8,117","886,654",5.5%
2006,"9,365","8,129","12,192","21,437","62,224","165,119","203,452","198,003","91,615","39,023","20,369","9,190","840,118",-7.6%
2005,"11,686","11,158","17,670","25,338","62,729","175,943","230,425","222,918","89,849","40,128","13,176","8,126","909,146",-2.9%
2004,"10,032","7,214","17,981","29,627","61,399","165,208","227,954","241,351","98,625","43,979","18,598","14,062","936,030",7.5%
2003,"5,011","3,674","8,100","13,483","49,165","154,035","229,203","236,385","109,614","35,712","15,818","10,834","871,034",-4.2%
2002,"9,372","9,139","8,198","22,400","56,138","195,007","223,994","219,701","100,651","39,023","19,121","6,154","908,898",-4.9%
2001,"9,007","5,016","8,837","18,906","60,758","192,749","237,981","254,819","105,127","41,749","14,309","6,211","955,469",-13.6%
2000,"7,680","7,216","12,379","19,597","56,457","241,202","264,707","319,967","113,551","44,591","11,928","6,549","1,105,824",16.3%
1999,"5,410","7,581","10,258","19,891","64,000","203,379","222,487","254,142","99,008","42,865","14,217","7,215","950,453",-6.9%
1998,"6,490","5,369","6,629","19,097","72,123","214,871","243,051","253,556","125,014","57,885","11,298","5,666","1,021,049",5.2%
1997,"9,197","5,400","8,952","21,386","65,723","185,921","256,102","248,190","110,533","43,189","11,219","4,884","970,696",-5.3%
1996,"6,276","9,133","9,457","14,865","54,339","168,458","269,852","298,697","124,891","53,291","11,090","4,356","1,024,705",-4.7%
1995,"9,689","11,367","17,711","24,072","64,642","185,944","283,530","288,225","122,438","43,214","16,971","7,766","1,075,569",-4.9%
1994,"8,995","8,662","19,434","21,843","76,263","185,125","289,085","341,930","111,980","36,357","19,076","11,709","1,130,459",-4.2%
1993,"9,886","9,566","17,086","26,717","70,690","192,956","311,931","351,234","120,981","40,869","15,791","11,751","1,179,458",-2.1%
1992,"8,513","8,148","19,494","27,163","78,904","214,252","271,982","349,509","142,107","60,738","14,227","10,260","1,205,297",-20.6%
1991,"16,997","18,277","26,613","96,014","115,677","255,869","363,803","333,715","180,250","70,108","22,154","18,919","1,518,396",14.5%
1990,"17,072","16,510","25,857","38,693","95,403","241,925","337,849","304,124","135,424","66,670","26,415","20,533","1,326,475",7.2%
1989,"15,639","15,150","23,466","32,748","89,411","229,324","305,833","284,663","140,774","60,704","23,860","16,384","1,237,956",11.5%
1988,"13,580","15,719","20,982","35,432","97,143","212,076","281,371","209,496","126,459","54,669","27,792","15,321","1,110,040",-5.5%
1987,"14,852","15,034","16,654","33,749","90,443","205,798","282,231","294,355","127,609","52,398","24,631","16,644","1,174,398",14.5%
1986,"13,173","12,457","18,332","28,062","81,991","168,772","262,462","249,847","115,800","41,512","17,110","16,112","1,025,630",7.9%
1985,"13,252","18,072","16,644","33,185","77,782","188,172","199,978","222,573","104,192","50,506","13,811","12,075","950,242",-14.7%
1984,"13,148","15,927","16,203","24,789","75,496","202,728","298,925","238,997","139,742","51,005","22,026","14,689","1,113,675",8.4%
1983,"13,843","17,445","18,776","25,203","65,184","186,972","268,962","223,451","122,929","48,777","22,014","13,425","1,026,981",-0.3%
1982,"12,264","15,202","17,899","26,518","69,073","188,644","270,076","242,958","110,020","45,298","19,208","13,324","1,030,484",-12.4%
1981,"16,460","15,772","20,524","34,168","73,357","192,909","299,383","254,029","182,838","52,592","20,636","13,284","1,175,952",23.4%
