LabelName
"Bryce Canyon NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"30,960","35,611","101,308","236,812","299,919","330,108","318,861","308,545","336,588","233,647","75,378","46,923","2,354,660",11.9%
2021,"37,725","35,653","96,800","201,771","294,862","369,184","284,523","191,404","287,185","183,461","77,501","44,531","2,104,600",43.7%
2020,"32,744","38,890","45,132","3,223","69,579","195,463","227,563","210,153","280,398","228,770","80,618","52,122","1,464,655",-43.6%
2019,"36,860","29,813","75,853","207,061","327,975","398,290","401,970","383,458","392,428","232,094","65,748","43,354","2,594,904",-3.2%
2018,"32,433","37,132","95,204","185,282","340,351","409,467","430,020","393,821","411,456","227,297","73,053","43,962","2,679,478",4.2%
2017,"27,774","32,979","82,110","153,242","330,743","376,786","416,608","403,964","380,586","243,118","74,761","49,013","2,571,684",8.7%
2016,"24,285","34,330","92,080","137,698","292,369","380,354","384,390","365,738","366,702","180,925","67,714","38,525","2,365,110",35.5%
2015,"21,949","30,090","63,170","123,978","197,742","305,465","265,809","248,654","252,839","152,995","48,745","34,368","1,745,804",21.6%
2014,"18,006","21,066","53,422","101,133","157,099","211,989","219,744","230,442","217,004","131,490","44,669","29,677","1,435,741",9.4%
2013,"15,788","17,572","51,205","87,023","166,592","210,292","226,736","206,853","203,491","66,747","36,259","23,317","1,311,875",-5.3%
2012,"16,265","18,680","42,546","89,738","163,348","198,749","220,851","211,071","242,075","123,308","36,251","22,470","1,385,352",6.9%
2011,"13,446","14,536","35,654","78,147","142,067","202,943","219,564","223,659","194,029","117,262","33,402","21,291","1,296,000",0.8%
2010,"12,402","14,957","38,460","72,125","154,228","190,632","235,722","211,111","213,022","96,075","30,633","16,125","1,285,492",5.7%
2009,"13,118","33,512","46,912","82,012","129,863","174,582","199,518","194,750","186,023","105,790","33,695","16,602","1,216,377",16.6%
2008,"11,024","14,488","42,956","75,143","107,709","172,120","183,100","173,837","156,547","64,776","26,575","15,046","1,043,321",3.0%
2007,"11,493","13,873","37,298","76,671","118,269","152,132","154,166","160,379","149,393","90,861","32,988","15,040","1,012,563",13.7%
2006,"13,772","15,329","31,152","74,520","104,013","125,785","138,960","135,491","119,800","82,216","32,257","17,381","890,676",-12.5%
2005,"11,098","17,219","38,748","56,390","114,249","154,760","174,099","165,818","152,109","83,564","31,923","17,704","1,017,681",3.1%
2004,"12,911","12,708","37,785","75,449","110,922","141,240","156,430","157,487","160,851","81,867","23,834","15,769","987,253",9.2%
2003,"14,818","13,220","31,843","58,817","89,990","133,567","129,448","148,407","142,962","95,542","29,710","15,436","903,760",2.0%
2002,"19,146","22,014","41,829","66,326","97,798","129,210","135,104","124,549","130,362","77,732","25,971","16,395","886,436",-17.0%
2001,"21,183","21,775","39,669","70,719","108,729","163,102","182,108","179,810","148,641","80,160","33,360","19,363","1,068,619",-2.8%
2000,"13,491","16,242","33,521","82,038","108,148","152,280","194,101","192,429","165,866","83,947","33,591","23,621","1,099,275",1.6%
1999,"16,331","15,229","42,255","61,735","91,461","142,111","170,847","198,985","194,063","99,442","34,170","14,892","1,081,521",-7.3%
1998,"13,656","12,608","34,282","61,662","116,179","163,381","192,913","188,294","202,986","114,653","48,525","17,192","1,166,331",-0.7%
1997,"12,957","15,870","70,022","70,353","121,166","150,390","169,270","219,725","189,280","111,249","29,469","15,073","1,174,824",-7.5%
1996,"24,302","25,544","68,649","86,414","120,132","173,431","161,919","231,120","184,492","116,245","27,213","50,139","1,269,600",27.7%
1995,"12,398","17,443","30,835","63,451","96,288","147,279","176,577","180,897","161,169","80,503","15,602","12,106","994,548",-3.3%
1994,"15,278","9,535","28,973","49,044","87,482","152,793","261,192","177,876","145,569","65,940","18,881","15,571","1,028,134",-7.2%
