LabelName
"Everglades NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"139,538","156,859","136,512","132,171","91,086","85,214","80,773","86,642","61,057","44,197","64,825","76,319","1,155,193",22.6%
2021,"123,528","93,812","82,016","94,693","95,632","97,092","74,370","57,175","44,673","50,173","60,962","68,004","942,130",34.1%
2020,"95,635","165,994","99,917","4,784","24,446","69,851","43,509","46,912","20,084","20,795","30,813","79,579","702,319",-37.2%
2019,"85,838","96,953","146,859","131,278","77,435","68,267","63,394","80,177","60,469","70,222","103,643","133,765","1,118,300",87.3%
2018,"33,950","66,837","45,018","35,737","31,090","30,697","36,653","26,945","37,443","58,920","74,544","119,290","597,124",-41.4%
2017,"194,200","120,646","126,818","98,915","74,300","68,958","52,425","85,059","17,708","42,574","49,593","87,361","1,018,557",9.4%
2016,"116,221","120,197","134,815","65,054","73,548","64,110","53,064","47,351","44,750","55,600","69,074","87,123","930,907",-13.6%
2015,"142,660","145,148","149,383","108,982","70,711","61,840","72,567","67,529","32,717","62,000","84,937","78,953","1,077,427",-3.0%
2014,"127,802","132,334","167,972","97,458","62,634","58,372","64,324","73,839","60,866","68,964","68,965","127,371","1,110,901",6.1%
2013,"142,377","132,732","144,436","91,347","73,300","59,024","61,541","60,541","50,742","38,034","80,206","112,836","1,047,116",-8.3%
2012,"128,689","133,777","132,603","99,501","73,188","55,627","65,022","73,081","49,588","84,150","100,040","146,640","1,141,906",22.2%
2011,"108,115","121,341","131,176","92,257","55,073","52,165","56,712","52,814","42,787","54,443","76,578","90,890","934,351",2.1%
2010,"104,491","112,674","137,350","91,638","67,704","46,388","55,954","52,731","52,433","64,447","48,242","81,486","915,538",1.6%
2009,"104,251","107,537","115,054","93,031","64,156","48,696","55,364","51,957","44,519","54,642","69,927","91,748","900,882",9.6%
2008,"87,123","111,172","104,390","82,543","60,147","50,393","54,174","44,632","27,457","43,760","70,884","85,443","822,118",-23.5%
2007,"100,546","102,862","241,397","101,656","60,350","48,303","53,336","49,587","79,819","81,573","74,858","80,477","1,074,764",12.7%
2006,"90,074","112,603","115,621","90,708","55,507","49,018","54,757","81,053","74,328","87,878","62,638","79,837","954,022",-22.7%
2005,"125,381","138,049","236,941","174,997","92,696","71,094","71,419","26,747","44,948","16,674","128,727","106,164","1,233,837",4.4%
2004,"142,612","160,274","143,197","70,008","139,849","135,819","56,238","59,426","35,407","66,229","77,465","94,831","1,181,355",13.5%
2003,"116,320","131,014","135,722","94,008","68,448","58,174","64,537","65,496","55,460","70,974","81,601","98,894","1,040,648",7.4%
2002,"116,699","123,767","138,066","90,924","59,925","46,614","52,050","51,891","46,264","82,933","76,566","83,210","968,909",-7.7%
2001,"130,610","159,927","142,544","105,186","78,059","63,953","61,905","52,413","40,968","54,878","70,801","88,607","1,049,851",5.5%
2000,"109,488","131,302","127,298","100,648","81,748","44,130","41,367","56,499","58,225","73,489","83,271","87,925","995,390",-7.3%
