LabelName
"Gates of the Arctic NP & PRES
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,0,0,0,0,338,"2,214","2,615","3,125","1,165",0,0,0,"9,457",28.5%
2021,0,0,0,0,202,"1,686","2,355","2,196",923,0,0,0,"7,362",156.3%
2020,0,0,0,0,0,5,"1,178","1,195",477,17,0,0,"2,872",-72.7%
2019,0,0,74,91,454,647,"2,852","5,399",966,35,0,0,"10,518",9.7%
2018,15,0,280,155,226,"1,949","2,797","2,980","1,153",36,0,0,"9,591",-14.2%
2017,198,119,280,155,355,"2,364","3,145","3,533","1,013",15,0,0,"11,177",11.2%
2016,306,310,389,172,164,"1,349","3,026","3,137","1,027",29,18,120,"10,047",-6.5%
2015,137,138,272,68,354,"2,071","2,968","3,393","1,100",0,0,244,"10,745",-15.2%
2014,501,501,928,218,342,"2,508","3,195","3,665",720,12,12,67,"12,669",15.0%
2013,230,302,127,5,215,"2,175","3,377","3,882",606,0,0,93,"11,012",1.0%
2012,249,148,196,50,10,"2,447","3,432","3,412",738,10,78,129,"10,899",-6.2%
2011,70,70,182,15,51,"2,832","3,713","3,716",860,2,25,87,"11,623",7.2%
2010,134,102,99,0,456,"2,547","3,191","3,419",760,10,17,105,"10,840",8.7%
2009,19,81,80,12,41,"2,533","3,471","3,020",659,0,0,59,"9,975",-12.5%
2008,39,0,44,0,538,"2,788","3,777","3,597",545,0,0,69,"11,397",4.2%
2007,1,2,8,0,349,"2,926","3,473","3,588",585,0,3,7,"10,942",9.6%
2006,24,0,14,11,113,"2,495","3,487","3,263",565,5,0,5,"9,982",5.5%
2005,0,4,4,1,269,"2,822","3,128","2,929",302,0,0,0,"9,459",-8.0%
2004,0,10,35,31,234,"2,698","3,422","3,338",512,0,0,2,"10,282",102.6%
2003,0,1,8,11,38,"1,952","2,422",536,85,11,5,6,"5,075",-23.7%
2002,5,20,27,13,109,"1,537","2,364","2,196",331,31,13,2,"6,648",47.6%
2001,38,45,56,28,93,"1,457","2,077",316,80,83,130,102,"4,505",-60.1%
2000,19,49,62,0,334,"4,330","5,959",318,150,6,0,51,"11,278",38.1%
1999,70,64,210,81,249,"1,885","2,548","2,414",435,91,62,57,"8,166",-1.2%
1998,19,43,92,41,204,"2,269","3,051","1,884",432,105,74,52,"8,266",19.0%
1997,11,49,60,51,18,"1,697","2,546","2,374",86,24,16,17,"6,949",7.8%
1996,15,30,37,35,29,"1,456","2,483","2,178",101,20,27,37,"6,448",-8.8%
1995,12,51,51,43,22,"1,461","2,746","2,393",249,15,23,8,"7,074",309.8%
1994,8,8,38,32,32,182,526,795,55,19,19,12,"1,726",-23.1%
1993,9,14,38,20,55,269,720,983,107,15,6,9,"2,245",6.1%
1992,16,18,39,65,75,399,647,732,93,19,6,7,"2,116",83.4%
1991,15,16,36,22,52,152,382,403,43,23,8,2,"1,154",14.3%
1990,2,2,33,19,19,138,337,413,47,0,0,0,"1,010",22.9%
1989,0,21,20,27,20,88,332,246,60,4,3,1,822,-34.7%
1988,0,9,20,12,33,84,547,505,42,6,0,0,"1,258",18.7%
1987,14,16,19,21,46,133,296,444,40,18,11,2,"1,060",-62.2%
1986,9,22,67,103,30,116,816,"1,490",107,19,12,10,"2,801",102.8%
1985,48,8,21,74,11,213,351,525,64,2,10,54,"1,381",-43.4%
1984,20,66,58,63,41,402,447,965,295,61,12,10,"2,440",14.1%
1983,5,5,11,30,75,279,701,673,279,45,22,13,"2,138",54.8%
1982,40,44,42,28,35,109,357,486,135,35,35,35,"1,381",

