LabelName
"Gateway Arch NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"37,942","38,975","107,142","102,741","111,872","162,685","543,140","153,348","108,741","111,471","80,576","60,141","1,618,774",41.4%
2021,"25,026","21,258","65,025","61,664","77,152","117,599","363,556","118,126","78,848","84,326","68,249","64,252","1,145,081",135.6%
2020,"51,753","62,958","54,112","30,000","31,000","50,905","33,748","31,610","32,146","44,372","33,888","29,529","486,021",-76.4%
2019,"18,962","51,416","164,238","138,309","165,964","296,149","583,866","208,999","127,764","122,770","91,836","85,036","2,055,309",1.9%
2018,"40,170","52,068","136,466","116,666","143,522","212,462","634,978","241,684","154,380","141,037","90,061","52,686","2,016,180",44.2%
2017,"30,163","30,233","74,140","91,530","120,796","186,788","245,532","217,438","120,806","115,574","88,069","77,119","1,398,188",9.9%
2016,"16,552","8,387","8,387","98,719","138,336","207,288","264,652","173,446","120,732","119,830","83,136","32,390","1,271,855",-25.1%
2015,"51,474","39,539","130,502","137,609","179,949","236,179","306,785","213,293","135,086","115,196","85,422","67,622","1,698,656",-6.5%
2014,"46,152","46,773","157,328","155,470","195,476","262,197","343,547","248,366","113,843","115,680","73,153","59,106","1,817,091",-23.6%
2013,"57,737","60,013","163,183","153,434","196,822","265,408","809,266","274,111","148,261","68,067","109,961","70,995","2,377,258",-4.8%
2012,"56,326","67,671","187,038","172,210","197,670","284,592","805,362","243,878","152,261","139,189","105,522","85,007","2,496,726",10.5%
2011,"54,696","54,884","133,246","153,804","179,766","178,809","815,418","224,103","143,292","142,409","97,614","80,979","2,259,020",-7.3%
2010,"57,518","61,079","162,697","175,883","195,918","247,616","817,243","240,563","159,827","149,590","105,479","62,697","2,436,110",3.2%
2009,"67,708","77,608","148,648","159,656","195,478","254,753","659,749","335,663","152,976","130,503","102,587","74,780","2,360,109",20.7%
2008,"59,291","62,121","143,284","131,112","202,886","237,567","332,003","232,820","130,797","246,550","107,076","69,303","1,954,810",-18.1%
