LabelName
"Grand Canyon NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"180,094","191,984","392,273","438,576","496,238","510,239","543,760","500,265","439,611","442,697","323,112","273,252","4,732,101",4.4%
2021,"164,922","161,428","317,054","421,232","484,442","538,530","556,766","430,684","399,321","430,734","346,971","280,593","4,532,677",56.5%
2020,"246,460","252,897","276,002",0,"43,397","232,267","350,003","303,900","249,010","421,568","275,764","245,830","2,897,098",-51.5%
2019,"225,056","213,050","451,228","562,265","618,598","643,821","756,860","700,896","578,852","551,558","347,847","324,380","5,974,411",-6.4%
2018,"257,366","265,949","503,284","549,416","637,703","673,474","799,765","744,826","615,783","555,094","408,794","369,041","6,380,495",2.0%
2017,"217,102","239,154","502,739","590,006","606,247","726,916","837,258","745,613","571,946","529,825","349,326","338,106","6,254,238",4.8%
2016,"189,103","214,361","504,295","464,922","588,591","700,421","839,086","743,158","578,006","517,791","333,204","296,873","5,969,811",8.1%
2015,"191,781","224,311","437,563","486,989","541,338","614,938","714,911","793,412","525,090","444,363","273,558","272,482","5,520,736",16.1%
2014,"173,458","176,364","353,920","320,348","463,713","563,375","621,953","671,027","488,359","410,933","256,705","256,616","4,756,771",4.2%
2013,"143,405","145,356","359,799","375,899","468,178","613,479","728,543","633,026","465,665","197,742","217,733","216,015","4,564,840",3.2%
2012,"141,357","141,305","291,120","389,777","416,363","549,688","647,953","610,680","448,925","376,225","221,927","186,032","4,421,352",2.9%
2011,"139,029","120,726","304,583","388,363","419,569","544,089","654,871","595,265","410,636","348,203","201,809","171,035","4,298,178",-2.1%
2010,"120,409","124,573","312,903","375,136","399,037","555,941","647,636","629,167","477,863","359,758","219,474","166,489","4,388,386",0.9%
2009,"135,463","132,865","310,717","393,469","432,940","529,833","658,993","600,442","425,737","352,207","214,355","161,047","4,348,068",-1.7%
2008,"123,600","146,730","358,409","377,542","453,651","530,291","644,915","633,985","433,030","359,396","209,843","153,922","4,425,314",0.3%
2007,"139,636","155,049","332,226","431,874","443,773","515,106","604,185","580,670","424,493","362,602","235,217","188,837","4,413,668",3.1%
2006,"163,222","178,982","296,498","419,253","451,576","509,456","578,208","507,951","399,117","352,556","239,306","183,314","4,279,439",-2.8%
2005,"132,660","151,719","356,357","380,473","444,253","594,410","611,813","572,431","392,835","335,518","230,597","198,456","4,401,522",1.7%
2004,"150,345","148,379","313,056","409,645","444,078","529,486","625,584","549,643","425,037","333,874","219,953","177,154","4,326,234",4.9%
2003,"156,481","148,388","274,120","340,245","398,371","536,251","603,109","550,855","377,719","335,317","220,124","183,920","4,124,900",3.1%
2002,"141,451","147,784","295,462","331,852","408,987","502,154","568,408","520,331","368,543","324,351","217,586","175,065","4,001,974",-2.5%
2001,"152,246","133,442","304,407","363,932","446,090","517,870","620,638","565,883","348,445","287,259","192,539","172,058","4,104,809",-8.0%
2000,"153,667","159,129","310,278","392,888","459,685","528,779","624,033","590,701","474,295","368,560","205,567","192,646","4,460,228",-2.5%
1999,"154,225","168,127","367,827","345,769","456,674","564,036","655,350","608,486","491,822","378,777","206,084","177,947","4,575,124",7.9%
1998,"133,187","135,141","248,949","401,811","444,044","532,945","586,676","600,640","421,853","375,993","209,611","148,832","4,239,682",-11.5%
1997,"133,291","174,087","347,740","324,011","465,990","540,275","730,341","591,024","599,107","444,433","251,808","189,561","4,791,668",5.6%
1996,"147,909","171,968","302,054","364,219","477,093","577,194","691,310","580,705","499,011","387,665","188,612","149,963","4,537,703",-0.4%
1995,"124,843","158,170","286,118","371,843","464,743","665,255","678,871","678,492","439,849","381,572","166,568","141,321","4,557,645",4.4%
1994,"137,426","136,008","321,076","317,331","430,834","539,256","684,303","656,675","447,284","348,792","192,207","153,124","4,364,316",-4.6%
1993,"113,555","124,186","267,508","326,969","462,722","610,570","755,833","744,485","481,004","356,060","186,556","146,154","4,575,602",8.9%
1992,"106,718","129,889","215,840","344,954","434,452","553,547","658,700","648,030","468,743","325,158","184,552","132,962","4,203,545",8.2%
1991,"119,713","137,010","173,728","262,163","420,242","530,436","583,108","561,165","451,446","361,865","181,771","103,384","3,886,031",2.9%
1990,"118,005","131,958","256,088","314,388","410,498","472,277","534,498","528,984","403,743","283,512","197,985","124,749","3,776,685",-4.8%
1989,"107,390","128,648","261,150","280,218","409,344","543,782","542,509","536,221","440,897","345,439","225,092","145,519","3,966,209",2.8%
1988,"96,995","133,142","273,551","240,519","387,946","523,647","557,670","550,873","462,806","328,960","196,874","106,903","3,859,886",9.9%
1987,"94,561","110,009","188,661","294,786","352,013","457,635","485,310","525,178","425,004","299,263","168,321","112,289","3,513,030",15.7%
1986,"75,573","94,361","201,642","215,037","318,732","407,145","456,542","437,652","312,678","247,244","151,811","117,370","3,035,787",12.0%
1985,"54,330","66,986","143,335","217,613","295,024","391,629","411,347","366,036","304,431","240,488","114,023","106,287","2,711,529",24.7%
1984,"60,598","72,688","123,699","169,412","249,813","332,759","369,741","260,758","220,356","148,330","104,114","61,316","2,173,584",-3.3%
1983,"49,146","65,862","118,768","141,134","233,043","364,817","400,961","305,589","226,922","181,782","94,483","65,575","2,248,082",-2.0%
1982,"44,969","58,210","106,235","167,891","212,009","372,127","369,983","364,548","254,192","188,615","90,586","63,762","2,293,127",-7.2%
1981,"87,337","88,570","119,264","205,490","244,709","364,113","398,756","378,831","247,606","185,318","83,734","68,542","2,472,270",7.3%
1980,"55,634","40,800","111,283","135,657","300,940","231,093","382,961","379,099","264,391","194,043","119,440","89,632","2,304,973",8.1%
1979,"37,002","46,043","91,927","123,643","205,048","297,877","338,935","350,694","294,206","187,335","98,410","60,596","2,131,716",

