LabelName
"Grand Teton NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"59,920","62,198","66,862","67,541","235,020","497,531","558,710","539,171","441,995","196,727","33,348","47,200","2,806,223",-27.8%
2021,"66,585","53,108","74,754","87,739","364,876","757,897","835,846","703,118","579,888","247,945","61,674","51,800","3,885,230",18.1%
2020,"51,648","55,197","51,455",0,"123,756","468,201","755,766","710,198","603,789","351,173","57,039","61,416","3,289,638",-3.4%
2019,"56,635","43,913","65,864","59,105","278,529","625,441","775,788","702,022","517,265","186,487","48,132","46,433","3,405,614",-2.5%
2018,"54,298","47,524","57,276","60,541","296,885","627,055","795,725","692,074","558,788","207,534","44,651","48,800","3,491,151",5.3%
2017,"45,377","44,397","53,366","58,403","255,583","637,683","739,046","716,690","482,661","187,499","45,496","50,799","3,317,000",1.4%
2016,"47,501","53,271","55,162","59,287","292,318","603,154","758,253","633,657","492,451","186,185","50,508","38,329","3,270,076",3.8%
2015,"46,952","51,638","57,392","52,348","231,708","576,057","737,246","651,245","474,787","190,681","38,610","41,257","3,149,921",12.8%
2014,"44,783","38,951","47,711","45,867","199,161","515,625","686,200","614,995","372,054","148,281","37,388","40,376","2,791,392",3.8%
2013,"39,871","40,742","47,414","45,027","189,663","509,389","642,862","609,953","420,542","68,984","36,686","37,661","2,688,794",-0.6%
2012,"38,762","31,835","39,138","48,341","167,848","484,844","661,613","585,450","405,477","165,549","36,114","40,285","2,705,256",4.6%
2011,"42,986","39,921","48,213","41,914","148,425","436,208","643,386","568,658","403,649","141,259","33,293","39,525","2,587,437",-3.1%
2010,"40,509","40,495","47,742","47,575","161,320","450,650","628,355","598,412","421,830","149,581","39,805","43,100","2,669,374",3.5%
2009,"43,659","43,129","44,492","48,206","177,624","435,542","622,045","568,122","393,873","124,607","37,574","41,208","2,580,081",3.8%
2008,"42,940","43,991","43,724","39,193","178,458","452,102","587,324","527,256","347,239","142,499","42,483","38,778","2,485,987",-4.0%
2007,"45,940","43,080","62,337","49,303","188,612","454,382","591,627","540,336","397,285","126,744","45,122","43,806","2,588,574",7.6%
2006,"42,429","47,055","44,281","43,722","160,378","427,444","597,484","497,403","344,329","121,273","39,656","41,022","2,406,476",-2.3%
2005,"44,727","43,863","46,293","47,223","151,793","430,930","602,298","544,255","344,390","135,657","31,528","40,485","2,463,442",4.4%
2004,"51,294","36,582","54,733","52,743","160,692","463,445","588,627","405,576","342,945","117,902","45,877","39,957","2,360,373",0.2%
2003,"61,043","57,583","48,717","64,112","90,174","480,739","570,488","550,815","300,997","44,268","42,495","44,262","2,355,693",-9.8%
2002,"56,314","56,764","57,923","47,955","164,065","458,491","619,451","549,234","360,557","122,602","58,652","60,621","2,612,629",3.1%
2001,"55,717","55,052","59,457","53,784","181,257","421,604","603,133","546,323","323,038","136,043","52,701","46,999","2,535,108",-2.1%
2000,"56,329","55,986","49,764","51,355","170,039","501,849","632,865","510,035","329,923","132,501","58,504","41,474","2,590,624",-3.3%
1999,"42,914","39,694","49,885","42,384","159,492","416,156","661,051","610,687","392,841","139,183","63,873","61,865","2,680,025",-2.8%
1998,"37,773","44,298","45,149","47,384","199,320","460,412","648,641","636,959","398,202","137,766","53,282","47,874","2,757,060",3.7%
1997,"37,291","40,998","47,657","41,501","157,661","441,755","644,524","638,490","382,007","131,589","45,908","49,381","2,658,762",-2.7%
1996,"35,023","42,816","58,360","43,897","161,679","481,622","669,906","619,839","398,302","133,597","51,717","36,681","2,733,439",0.1%
1995,"35,760","43,571","39,922","48,571","168,819","445,606","717,919","615,932","400,346","139,670","43,978","30,921","2,731,015",7.5%
1994,"35,079","29,682","50,319","50,751","115,634","467,855","593,010","661,706","361,257","100,983","37,564","36,859","2,540,699",-1.1%
1993,"29,975","33,288","42,895","40,169","162,582","454,534","625,197","613,984","353,141","132,981","48,402","31,541","2,568,689",47.2%
1992,"15,410","18,965","22,707","26,216","114,342","306,048","454,274","437,214","249,185","71,601","21,390","7,284","1,744,636",7.3%
1991,"13,619","18,200","16,860","14,871","93,799","277,687","433,870","414,181","240,892","68,870","20,087","12,816","1,625,752",2.4%
1990,"10,168","12,271","15,512","20,070","88,939","284,680","413,491","423,509","225,714","55,334","29,286","9,279","1,588,253",19.3%
1989,"9,508","9,227","16,870","17,099","104,335","245,532","343,740","323,277","174,321","54,476","22,184","11,090","1,331,659",8.0%
1988,"9,943","10,894","13,991","20,433","89,014","268,452","320,432","292,705","125,016","54,972","17,453","9,386","1,232,691",-15.0%
1987,"11,612","11,088","12,310","21,241","74,134","230,020","398,516","381,568","220,715","60,499","19,071","10,017","1,450,791",11.1%
1986,"9,625","9,028","14,040","11,553","64,026","229,917","374,139","361,709","162,631","46,002","13,994","9,658","1,306,322",-2.1%
1985,"8,656","8,868","10,414","13,325","51,266","238,661","386,954","368,768","186,167","40,346","10,379","10,679","1,334,483",-1.9%
1984,"8,226","9,788","10,099","11,344","53,385","228,142","374,365","380,301","215,255","48,538","13,681","7,774","1,360,898",-11.2%
1983,"9,966","10,935","12,066","11,526","119,010","231,024","370,515","444,690","233,269","56,456","26,324","6,254","1,532,035",-39.5%
1982,"15,098","26,809","20,773","19,308","146,341","481,909","790,452","720,615","138,944","101,968","52,787","19,025","2,534,029",-4.1%
1981,"18,959","31,878","25,886","26,846","176,726","451,018","674,566","699,874","357,057","106,157","52,768","21,909","2,643,644",3.4%
1980,"15,804","31,020","34,943","29,195","136,336","395,897","635,656","777,149","309,929","95,773","43,950","49,975","2,555,627",4.5%
1979,"46,131","24,585","32,175","38,696","134,499","384,945","608,613","667,299","305,194","123,444","46,685","33,905","2,446,171",

