LabelName
"Great Smoky Mountains NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"409,267","536,592","878,917","1,014,878","1,227,558","1,486,757","1,560,696","1,266,172","1,315,818","1,624,908","945,444","670,626","12,937,633",-8.6%
2021,"525,801","502,459","931,060","1,169,469","1,363,183","1,539,247","1,730,987","1,398,161","1,355,599","1,633,547","1,155,227","856,808","14,161,548",17.1%
2020,"438,509","426,839","487,535","99,371","828,792","1,535,660","1,726,187","1,544,254","1,400,171","1,739,720","1,091,098","777,584","12,095,720",-3.6%
2019,"496,743","421,770","786,305","999,259","1,096,056","1,469,857","1,613,133","1,411,231","1,273,326","1,408,013","851,419","720,631","12,547,743",9.9%
2018,"320,864","399,156","689,235","820,657","985,145","1,401,741","1,468,273","1,195,360","1,369,637","1,263,665","867,110","640,357","11,421,200",0.7%
2017,"382,161","457,921","690,615","867,375","907,646","1,304,711","1,492,508","1,235,188","1,282,168","1,336,369","817,238","564,993","11,338,893",0.2%
2016,"379,730","353,532","778,211","859,420","1,018,224","1,364,138","1,464,456","1,183,778","1,165,098","1,466,584","810,894","468,721","11,312,786",5.6%
2015,"373,315","244,214","598,835","794,886","1,017,955","1,307,646","1,441,603","1,208,882","1,096,723","1,353,454","707,576","567,585","10,712,674",6.1%
2014,"275,353","296,451","509,454","724,987","900,900","1,305,063","1,445,328","1,213,262","978,105","1,303,450","636,596","510,327","10,099,276",8.0%
2013,"265,633","252,437","465,594","636,677","885,960","1,321,821","1,399,567","1,040,021","1,060,237","847,616","688,430","490,702","9,354,695",-3.4%
2012,"269,282","353,390","611,326","745,545","799,760","1,202,056","1,392,067","1,081,025","982,942","1,144,273","623,636","480,527","9,685,829",7.5%
2011,"214,609","315,206","502,501","690,037","727,237","1,121,001","1,342,491","1,002,603","882,269","1,133,530","605,743","471,603","9,008,830",-4.8%
2010,"303,318","239,587","505,950","848,946","792,980","1,359,978","1,403,978","947,311","845,410","1,252,357","621,211","342,512","9,463,538",-0.3%
2009,"323,614","334,515","521,140","770,585","788,974","1,181,938","1,404,034","1,035,277","845,655","1,052,137","708,797","524,771","9,491,437",4.9%
2008,"322,865","340,558","553,078","628,593","783,847","1,063,589","1,257,396","1,049,206","819,816","1,096,711","652,023","476,328","9,044,010",-3.5%
2007,"350,818","342,540","564,878","701,353","810,438","1,116,371","1,313,210","1,011,693","951,432","1,092,798","677,203","439,519","9,372,253",0.9%
2006,"363,998","332,912","557,555","725,298","732,978","1,113,186","1,280,865","920,331","928,487","1,128,927","702,589","502,089","9,289,215",1.1%
2005,"345,009","347,144","524,650","652,265","767,056","1,124,130","1,333,994","997,352","854,342","1,054,311","721,684","470,540","9,192,477",0.3%
2004,"307,017","336,212","506,804","675,350","774,049","1,076,888","1,355,683","1,002,046","876,758","1,158,267","630,539","467,433","9,167,046",-2.1%
2003,"305,430","332,223","533,896","701,080","780,366","1,156,774","1,326,666","1,109,676","807,827","1,239,051","658,929","414,927","9,366,845",0.5%
2002,"287,352","350,391","522,266","674,470","789,882","1,159,339","1,359,477","1,090,431","947,207","1,104,852","676,504","354,249","9,316,420",1.3%
2001,"297,855","362,356","467,539","706,543","758,423","1,085,811","1,373,170","1,121,119","989,884","1,095,602","595,586","343,809","9,197,697",-9.6%
2000,"311,269","443,683","525,438","725,456","847,421","1,167,097","1,703,605","1,147,933","1,009,287","1,208,590","668,947","417,086","10,175,812",-1.0%
1999,"302,467","352,912","454,227","745,755","877,679","1,250,890","1,674,267","1,206,176","1,081,556","1,136,547","741,325","459,797","10,283,598",2.9%
1998,"263,020","325,269","472,838","696,321","847,434","1,145,571","1,672,297","1,184,421","1,047,938","1,179,433","729,487","425,366","9,989,395",0.2%
1997,"238,794","338,695","483,391","652,729","764,021","1,091,996","1,743,996","1,362,372","1,029,761","1,181,685","624,029","453,606","9,965,075",7.5%
1996,"230,199","380,652","387,653","651,175","774,385","1,137,719","1,394,781","1,156,114","970,447","1,182,349","552,780","447,413","9,265,667",2.0%
1995,"264,477","277,224","445,804","678,827","691,175","1,165,049","1,351,579","1,171,837","953,804","1,070,437","532,510","477,697","9,080,420",5.2%
1994,"249,289","293,089","401,451","619,504","708,517","966,509","1,328,303","1,227,940","884,902","1,049,209","490,559","408,902","8,628,174",-7.1%
1993,"339,368","295,074","293,778","595,500","771,472","1,081,371","1,558,223","1,335,131","1,004,463","1,165,569","500,087","343,812","9,283,848",3.9%
1992,"284,355","300,251","372,618","645,468","761,708","1,028,665","1,442,585","1,169,735","923,424","1,184,533","471,507","346,841","8,931,690",3.2%
1991,"192,460","233,412","347,276","585,688","734,033","1,035,972","1,409,216","1,311,019","905,908","1,141,505","454,762","303,208","8,654,459",6.2%
1990,"189,278","234,866","373,267","596,641","626,377","1,061,642","1,394,539","1,157,840","913,993","888,411","467,715","247,200","8,151,769",-2.2%
1989,"213,529","199,584","340,842","506,690","812,193","1,195,096","1,339,906","1,230,564","809,478","1,076,715","418,785","190,171","8,333,553",-5.0%
1988,"170,684","175,550","309,014","504,296","664,326","1,245,652","1,669,578","1,470,611","986,914","969,400","389,468","215,288","8,770,781",-14.1%
1987,"260,147","227,936","414,925","569,557","868,493","1,316,697","1,627,542","1,512,732","990,046","1,576,500","568,460","276,806","10,209,841",3.8%
1986,"206,496","200,270","456,909","648,885","825,357","1,283,519","1,761,918","1,400,438","920,431","1,285,355","560,364","286,364","9,836,306",5.5%
1985,"173,985","198,370","421,954","598,858","631,697","1,215,802","1,610,633","1,391,083","996,027","1,340,475","503,174","237,232","9,319,290",9.5%
