LabelName
"Haleakala NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"71,681","68,985","83,897","89,299","93,713","97,394","104,084","106,137","95,674","96,761","82,116","97,875","1,087,616",27.5%
2021,"46,112","51,021","51,871","63,781","79,469","89,207","89,064","79,648","79,339","74,933","72,249","76,487","853,181",167.3%
2020,"77,427","69,447","35,688",0,0,"2,376","10,048","1,854","9,608","13,997","42,320","56,382","319,147",-67.9%
2019,"53,523","83,666","93,074","87,763","85,159","85,338","86,267","84,618","98,856","73,204","72,075","90,851","994,394",-4.8%
2018,"97,098","89,499","89,853","93,034","104,022","102,600","123,871","83,129","69,877","52,879","52,581","85,641","1,044,084",-6.1%
2017,"105,951","86,467","101,252","91,200","105,664","101,215","106,569","104,603","95,214","53,030","52,971","108,254","1,112,390",-12.0%
2016,"107,269","101,804","108,907","99,227","111,482","108,549","107,644","116,376","100,997","109,571","98,511","93,221","1,263,558",3.8%
2015,"94,741","87,335","100,985","98,444","106,655","107,933","114,193","105,682","102,845","99,116","94,726","104,117","1,216,772",6.5%
2014,"90,299","84,262","93,803","93,199","90,016","103,977","105,419","98,458","92,327","97,832","90,380","102,068","1,142,040",45.4%
2013,"87,198","82,908","99,538","65,910","89,138","95,196","77,348","24,994","44,510","19,875","44,507","54,178","785,300",-28.3%
2012,"85,649","84,336","89,234","82,197","91,890","89,232","102,272","102,717","90,383","97,641","87,405","91,712","1,094,668",14.4%
2011,"74,656","74,289","84,660","70,373","78,907","77,327","83,291","81,116","83,297","84,262","80,617","84,194","956,989",-13.4%
2010,"92,840","92,510","94,951","89,196","94,632","94,423","105,196","105,189","98,133","85,258","77,317","75,961","1,105,606",-0.3%
2009,"89,951","87,466","93,639","88,113","88,255","94,221","99,033","101,092","91,915","96,944","87,149","91,326","1,109,104",-6.4%
2008,"104,019","83,102","107,714","97,604","106,353","107,207","105,028","115,471","91,232","94,421","88,487","84,430","1,185,068",-10.4%
2007,"107,402","89,838","115,461","106,371","118,534","120,650","129,311","148,140","104,875","114,805","66,799","100,631","1,322,817",-7.2%
2006,"125,084","110,578","121,767","111,260","117,049","141,643","140,972","132,075","118,641","91,843","86,418","128,738","1,426,068",-3.3%
2005,"104,335","110,961","123,900","115,106","127,941","122,234","148,589","142,755","126,691","120,566","111,037","120,566","1,474,681",1.3%
2004,"108,940","105,048","124,182","119,373","124,228","136,021","142,452","141,117","117,257","118,301","108,458","110,100","1,455,477",0.7%
2003,"86,899","114,503","92,657","110,475","114,217","112,981","154,724","154,747","125,258","133,619","120,345","124,243","1,444,668",-5.0%
2002,"107,643","122,405","108,885","105,015","123,989","167,021","186,727","177,692","87,398","125,267","115,349","93,689","1,521,080",7.8%
2001,"120,965","128,827","136,306","127,741","121,161","118,356","108,463","136,615","105,230","111,098","98,543","97,669","1,410,974",-12.9%
