LabelName
"Joshua Tree NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"277,128","302,834","431,849","358,701","228,627","159,177","149,070","135,137","150,533","222,629","316,911","325,698","3,058,294",-0.2%
2021,"229,995","285,687","375,049","383,735","285,611","181,050","125,568","123,163","163,241","213,088","334,802","363,411","3,064,400",27.7%
2020,"268,187","298,294","226,600",0,"89,831","184,139","147,037","134,518","168,181","253,877","360,238","268,640","2,399,542",-19.7%
2019,"195,993","261,230","469,183","374,789","250,928","187,551","138,967","120,911","160,294","233,995","291,230","303,476","2,988,547",1.6%
2018,"297,435","288,392","404,708","325,715","247,786","153,556","130,427","142,015","149,124","221,232","299,880","282,112","2,942,382",3.1%
2017,"240,124","260,139","404,545","361,992","221,752","125,896","124,571","142,340","157,084","223,008","307,770","284,398","2,853,619",13.9%
2016,"193,843","236,807","327,072","242,959","220,378","110,505","149,299","148,427","156,795","220,065","248,731","250,405","2,505,286",23.7%
2015,"169,097","200,450","256,873","216,432","177,545","110,176","102,545","107,537","123,171","163,512","200,168","198,250","2,025,756",27.4%
2014,"101,069","152,467","195,810","187,219","125,920","76,297","78,413","94,933","89,968","131,935","175,727","180,146","1,589,904",14.9%
2013,"114,833","130,396","197,074","196,575","127,406","77,567","74,274","89,444","71,667","54,688","120,911","128,505","1,383,340",-0.9%
2012,"109,800","128,888","178,259","186,175","117,183","72,981","74,748","68,027","79,377","104,590","145,103","130,986","1,396,117",0.0%
2011,"116,050","119,977","194,339","195,244","124,339","81,534","74,707","64,969","71,694","102,752","135,131","115,501","1,396,237",-2.7%
2010,"106,932","123,925","207,336","190,427","131,035","76,320","72,789","80,053","81,596","117,098","134,653","112,812","1,434,976",10.0%
2009,"98,513","97,112","171,428","177,361","123,705","74,463","65,923","67,161","79,011","119,870","126,299","103,625","1,304,471",-6.3%
2008,"102,205","127,998","260,407","177,975","113,044","60,395","64,621","66,032","78,831","117,308","129,558","94,072","1,392,446",7.2%
2007,"95,278","124,960","149,974","166,256","105,744","68,848","68,325","73,565","76,578","107,220","156,581","105,650","1,298,979",3.4%
2006,"104,777","117,045","152,137","189,636","108,837","67,150","46,833","58,973","73,089","105,927","128,990","103,027","1,256,421",-8.6%
2005,"89,602","107,227","267,723","207,664","126,323","76,272","50,610","66,270","70,188","101,034","113,626","98,572","1,375,111",10.6%
2004,"113,881","112,696","175,444","183,679","103,122","64,776","59,155","59,699","67,954","104,369","112,344","86,540","1,243,659",-3.1%
2003,"117,131","114,255","162,371","180,230","120,713","63,436","54,407","58,947","66,148","106,265","125,043","114,400","1,283,346",8.9%
