LabelName
"Mount Rainier NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"23,623","20,785","19,466","20,282","62,286","183,253","392,691","415,544","295,701","152,168","21,823","14,773","1,622,395",-2.9%
2021,"42,161","12,078","27,045","40,511","84,911","235,769","449,446","362,942","257,993","121,019","20,735","15,453","1,670,063",43.9%
2020,"12,164","6,783","29,088",98,"4,900","105,540","280,106","345,496","195,942","101,916","36,523","42,198","1,160,754",-22.7%
2019,"12,933","11,743","32,101","29,632","106,136","219,641","365,200","378,305","184,166","74,355","48,248","39,161","1,501,621",-1.1%
2018,"23,928","18,782","29,624","29,400","107,122","219,842","349,140","325,914","191,730","108,455","86,310","28,244","1,518,491",7.2%
2017,"27,204","21,557","22,768","34,679","97,809","189,348","329,618","323,130","195,641","89,520","58,164","26,429","1,415,867",4.3%
2016,"34,786","26,655","28,799","50,395","93,828","187,037","296,922","313,699","195,579","76,232","27,114","25,867","1,356,913",9.7%
2015,"28,663","18,527","30,565","49,589","69,225","160,878","271,118","259,670","179,756","75,827","71,663","21,750","1,237,231",-2.1%
2014,"23,824","10,641","19,935","31,295","55,951","161,513","263,948","320,378","173,827","76,384","111,446","15,117","1,264,259",10.1%
2013,"21,735","16,937","22,315","14,102","51,227","178,339","286,562","287,340","154,566","38,478","59,344","17,607","1,148,552",9.5%
2012,"14,361","16,894","15,977","25,320","62,732","109,205","240,018","275,146","185,340","59,049","28,224","16,912","1,049,178",1.1%
2011,"21,157","20,023","17,283","20,049","39,096","90,181","243,791","272,128","196,242","66,499","31,614","20,166","1,038,229",-12.9%
2010,"25,416","27,854","26,409","23,661","56,037","186,060","276,729","287,090","160,833","66,114","35,042","20,509","1,191,754",3.5%
2009,"14,766","17,919","13,917","22,254","66,161","184,078","269,951","267,980","175,431","65,988","29,473","23,736","1,151,654",-1.0%
2008,"21,814","20,309","21,118","22,166","62,793","176,513","240,097","267,285","182,021","77,884","57,298","13,929","1,163,227",11.0%
2007,"1,337",663,"1,306","5,582","60,261","173,843","231,630","243,245","171,254","76,561","59,111","22,892","1,047,685",-5.9%
2006,"24,201","24,967","24,515","27,674","52,860","162,783","266,036","256,497","182,440","78,600","12,070",958,"1,113,601",-5.1%
2005,"21,728","25,010","26,358","27,660","70,631","179,269","259,385","266,133","165,535","75,533","33,175","23,480","1,173,897",-3.6%
2004,"19,661","22,797","23,318","34,417","67,106","179,952","284,252","255,000","167,700","72,500","63,844","27,203","1,217,750",-3.5%
2003,"31,549","25,616","21,826","25,525","79,000","182,774","270,329","277,539","172,787","106,540","43,464","25,402","1,262,351",-3.7%
2002,"21,371","25,394","21,873","24,276","71,889","175,955","265,553","296,000","182,609","106,575","66,658","52,237","1,310,390",0.7%
2001,"31,763","29,392","25,451","30,687","85,145","179,336","281,377","269,233","186,589","112,288","32,674","37,168","1,301,103",-3.3%
2000,"28,406","32,619","23,784","35,744","81,895","181,516","276,237","289,775","175,595","117,543","68,112","33,607","1,344,833",4.1%
