LabelName
"Olympic NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"65,553","76,509","112,250","92,420","133,313","224,731","432,022","634,516","322,881","151,732","107,847","79,198","2,432,972",-10.5%
2021,"74,962","75,915","116,649","92,336","110,700","216,260","534,345","795,063","334,522","182,884","103,802","81,487","2,718,925",8.8%
2020,"74,888","76,248","116,314","40,297","66,013","186,034","510,073","719,170","334,249","188,318","107,430","80,143","2,499,177",-23.0%
2019,"72,725","73,756","113,720","159,983","307,426","499,728","517,058","737,996","399,907","182,944","108,204","72,359","3,245,806",4.6%
2018,"124,050","95,948","113,917","161,131","305,775","462,461","492,372","655,793","345,371","193,677","90,207","63,753","3,104,455",-8.7%
2017,"96,056","94,433","114,817","202,039","350,885","500,191","510,184","764,282","411,658","194,127","91,989","71,335","3,401,996",0.3%
2016,"97,571","103,509","126,255","171,641","341,524","459,305","563,492","813,267","409,680","114,112","117,426","72,439","3,390,221",3.9%
2015,"79,877","102,766","110,453","163,263","280,726","550,337","568,820","702,159","391,825","139,783","104,817","68,935","3,263,761",0.6%
2014,"80,424","77,894","106,803","163,050","282,962","396,184","585,884","860,611","394,495","146,288","75,692","73,585","3,243,872",5.1%
2013,"77,162","81,808","119,954","124,456","274,629","388,581","460,971","855,663","373,850","134,726","89,154","104,386","3,085,340",9.2%
2012,"65,178","79,292","96,768","114,970","287,399","261,427","527,598","639,436","417,768","165,809","83,363","85,900","2,824,908",-4.8%
2011,"81,212","68,228","105,061","128,660","282,322","316,535","514,487","724,884","380,517","194,130","91,620","78,846","2,966,502",4.3%
2010,"95,417","87,317","114,917","160,423","224,279","283,713","515,266","648,734","329,213","172,354","147,838","65,092","2,844,563",-13.2%
2009,"108,180","108,615","130,282","131,420","296,279","390,715","511,702","714,948","408,782","218,816","143,775","112,945","3,276,459",6.3%
2008,"85,799","88,928","121,254","127,008","253,117","454,678","469,753","634,421","358,070","234,011","157,669","96,743","3,081,451",3.1%
2007,"94,454","105,116","110,831","125,060","308,662","291,907","405,967","731,346","387,414","200,700","142,776","84,453","2,988,686",8.7%
2006,"91,371","94,011","99,138","134,679","228,334","291,704","426,249","663,496","334,225","193,254","111,836","80,900","2,749,197",-12.5%
2005,"87,091","96,880","118,618","115,228","313,764","439,694","452,981","806,537","348,835","161,829","104,002","97,315","3,142,774",2.2%
2004,"113,575","109,916","107,077","137,681","223,346","344,345","399,944","940,156","341,704","167,016","99,965","88,997","3,073,722",-4.7%
2003,"117,392","105,632","123,961","183,861","226,461","394,437","522,505","805,921","388,750","152,942","87,717","115,748","3,225,327",-12.6%
