LabelName
"Rocky Mountain NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"130,331","101,109","145,752","153,666","286,464","627,860","811,861","665,531","650,863","474,957","131,655","120,375","4,300,424",-3.0%
2021,"140,715","133,771","155,819","183,792","335,060","671,232","904,767","746,343","521,233","352,736","164,992","124,388","4,434,848",34.2%
2020,"126,866","110,667","97,690",0,"63,051","491,355","723,478","580,368","500,019","297,665","157,875","156,165","3,305,199",-29.2%
2019,"118,152","99,873","146,414","160,259","280,351","698,224","973,992","830,039","752,320","374,003","123,376","113,050","4,670,053",1.7%
2018,"111,422","84,245","156,434","151,975","305,993","720,822","931,929","798,306","784,480","312,757","125,349","106,781","4,590,493",3.5%
2017,"95,602","98,832","145,110","158,360","263,222","741,247","885,478","782,625","681,160","332,526","140,223","112,830","4,437,215",-1.8%
2016,"115,207","105,125","135,053","129,967","285,868","700,990","912,507","772,849","711,110","398,525","158,553","91,831","4,517,585",8.7%
2015,"98,928","85,123","134,304","116,959","259,711","608,796","858,426","765,579","644,350","371,558","118,398","93,784","4,155,916",21.0%
2014,"77,633","76,881","99,077","97,100","220,532","538,725","693,685","616,826","537,694","305,651","90,915","80,032","3,434,751",14.8%
2013,"78,022","68,831","89,691","90,379","239,184","602,508","712,583","621,852","253,467","66,275","86,379","81,970","2,991,141",-7.4%
2012,"68,537","62,036","104,374","117,053","228,950","500,206","651,722","589,131","527,172","219,946","93,714","66,776","3,229,617",1.7%
2011,"68,641","50,540","73,760","77,183","163,587","500,733","743,741","620,534","483,780","264,617","68,076","61,749","3,176,941",7.5%
2010,"64,618","44,576","70,117","69,097","180,710","441,738","668,418","574,638","461,942","245,770","67,862","66,335","2,955,821",4.7%
2009,"70,858","58,375","75,022","58,842","207,827","426,453","626,907","568,455","443,488","171,959","67,894","46,245","2,822,325",2.4%
2008,"62,228","58,860","71,260","63,083","165,489","420,334","611,760","533,886","424,613","213,467","74,914","57,496","2,757,390",-4.8%
2007,"51,340","51,929","77,306","75,190","188,187","468,770","653,885","559,939","442,327","204,583","70,953","50,974","2,895,383",5.5%
2006,"55,549","51,901","59,636","73,816","187,936","451,277","641,178","516,531","412,722","177,716","61,323","54,091","2,743,676",-2.0%
2005,"60,206","61,932","60,125","60,341","178,599","417,346","658,903","556,353","406,772","199,748","79,707","58,336","2,798,368",0.6%
2004,"57,795","58,503","79,540","62,595","179,887","421,739","633,725","561,913","407,864","200,180","52,173","65,985","2,781,899",-9.3%
2003,"61,472","48,224","63,999","69,226","198,771","457,861","678,086","626,473","465,941","262,699","69,681","64,823","3,067,256",2.6%
