LabelName
"Shenandoah NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"13,592","34,383","56,623","115,883","135,836","165,442","184,485","164,375","145,704","298,672","114,473","19,832","1,449,300",-9.0%
2021,"37,588","9,991","76,682","117,830","152,924","162,890","198,114","165,056","161,016","295,326","168,956","45,939","1,592,312",-4.4%
2020,"27,236","35,473","133,333","11,514","46,903","180,311","244,677","222,592","202,100","365,398","152,674","44,054","1,666,265",16.9%
2019,"20,245","10,264","38,601","102,672","150,297","170,492","167,335","195,579","176,271","236,554","127,014","30,183","1,425,507",12.7%
2018,"23,798","19,335","46,587","83,868","132,856","149,418","178,769","175,955","109,786","202,362","119,320","22,826","1,264,880",-13.3%
2017,"19,961","43,927","44,352","122,666","136,232","163,193","199,031","187,626","156,788","244,484","114,778","25,836","1,458,874",1.5%
2016,"16,626","20,687","56,390","93,020","137,816","158,017","195,953","176,133","147,462","263,082","142,558","29,597","1,437,341",8.7%
2015,"11,278","9,610","33,194","88,978","155,018","138,916","169,303","194,768","140,852","257,854","86,953","35,149","1,321,873",5.3%
2014,"8,052","10,115","29,951","91,203","141,445","142,300","172,792","180,685","130,281","252,800","74,015","21,682","1,255,321",10.5%
2013,"13,786","9,620","30,481","101,796","147,819","136,277","159,170","168,796","139,508","112,754","98,409","18,089","1,136,505",-6.1%
2012,"18,017","15,954","46,454","94,770","127,124","142,242","147,518","149,992","140,267","235,180","74,648","18,034","1,210,200",0.0%
2011,"13,019","18,224","36,600","91,337","126,032","137,580","178,786","146,070","112,131","238,482","89,114","22,508","1,209,883",-3.5%
2010,"3,576","1,144","33,230","94,931","119,576","127,861","175,626","163,613","150,140","281,998","89,312","12,379","1,253,386",11.8%
2009,"15,414","20,070","30,970","77,195","111,110","121,161","163,916","160,076","124,997","217,307","74,013","4,752","1,120,981",4.2%
2008,"15,983","14,836","43,857","56,576","110,812","121,783","136,795","159,553","87,459","220,661","90,168","17,395","1,075,878",-2.8%
2007,"13,113","9,149","33,699","67,532","115,809","125,902","158,668","135,534","137,702","206,362","88,971","14,786","1,107,227",2.9%
2006,"16,328","14,081","39,156","78,772","103,065","109,042","151,457","137,773","109,449","233,542","66,421","17,064","1,076,150",-1.7%
2005,"16,573","18,263","33,382","64,318","124,297","131,690","165,894","145,323","113,659","161,907","115,249","4,357","1,094,912",-13.2%
2004,"14,864","23,956","41,044","96,523","157,617","143,049","167,700","171,220","117,324","240,216","66,531","20,956","1,261,000",8.3%
2003,"14,899","5,115","42,356","83,405","97,130","126,203","177,960","176,502","82,865","245,792","94,173","17,550","1,163,950",-16.2%
2002,"26,668","32,594","56,411","89,073","135,704","164,106","224,404","195,518","143,243","193,166","112,214","16,143","1,389,244",-7.3%
2001,"16,916","27,839","41,798","106,794","131,271","155,811","213,461","182,031","179,341","303,514","99,177","40,608","1,498,561",5.6%
2000,"24,257","31,041","58,479","95,310","122,358","133,186","178,581","167,900","148,990","346,913","90,044","22,520","1,419,579",6.0%
1999,"13,782","31,557","41,025","94,767","145,280","134,151","176,878","169,716","128,884","286,995","89,425","26,826","1,339,286",-9.1%
1998,"22,879","12,937","27,762","94,723","153,940","143,583","199,104","222,371","161,099","300,207","107,417","27,078","1,473,100",-7.2%
1997,"21,177","38,070","73,063","102,548","146,407","162,372","220,690","263,672","155,429","261,344","108,985","34,033","1,587,790",1.1%
1996,"11,109","24,167","65,262","118,566","140,916","187,366","245,265","237,536","117,518","308,790","80,667","33,857","1,571,019",-10.6%
1995,"26,693","31,145","79,367","149,234","145,863","201,137","268,003","253,291","193,784","293,109","94,778","21,390","1,757,794",-8.8%
1994,"13,792","25,220","61,505","167,326","173,744","181,290","262,617","264,822","216,026","409,900","109,372","41,269","1,926,883",-1.3%
1993,"38,942","25,330","41,559","172,176","177,205","185,276","307,932","292,616","199,595","381,260","105,255","24,220","1,951,366",7.1%
1992,"32,946","39,282","66,805","137,433","155,561","197,999","282,037","197,603","184,121","395,980","102,401","30,025","1,822,193",-6.0%
1991,"31,529","51,095","86,509","112,182","190,306","195,592","257,898","291,397","218,180","381,661","89,303","33,834","1,939,486",9.5%
1990,"33,856","42,354","73,022","117,648","146,287","182,619","233,944","231,214","216,835","333,463","126,480","34,058","1,771,780",-5.4%
1989,"42,897","32,313","80,035","107,011","180,081","199,961","275,850","255,576","199,822","382,677","89,449","28,145","1,873,817",-3.3%
1988,"32,624","29,494","65,011","126,421","190,831","185,082","264,339","263,625","218,231","420,713","91,086","49,698","1,937,155",9.6%
1987,"26,762","29,916","64,499","96,103","187,671","178,897","241,363","264,940","150,462","411,659","81,548","33,907","1,767,727",-4.1%
1986,"32,930","20,997","79,527","120,365","189,740","190,786","262,840","279,679","188,774","341,440","95,804","41,103","1,843,985",-4.6%
1985,"17,864","30,458","73,541","127,050","184,626","230,790","267,876","247,359","245,301","381,497","90,212","36,511","1,933,085",3.4%
1984,"23,538","41,150","60,783","122,678","185,688","206,444","257,704","254,988","208,824","378,194","90,497","38,819","1,869,307",5.7%
1983,"27,280","22,633","60,503","96,859","171,129","184,854","288,667","246,938","200,557","354,062","92,275","22,621","1,768,378",0.9%
1982,"13,409","17,181","49,035","113,050","187,271","198,058","251,514","257,985","209,679","358,818","68,751","27,221","1,751,972",-3.7%
1981,"29,335","36,964","61,981","131,713","178,187","202,230","255,740","293,574","186,017","352,936","67,573","23,296","1,819,546",7.1%
1980,"22,968","22,352","49,132","107,118","170,191","194,184","247,966","275,449","182,916","318,121","85,970","22,861","1,699,228",11.7%
1979,"24,503","20,437","67,572","132,350","147,045","136,996","185,666","217,006","167,785","291,735","93,001","37,355","1,521,451",

