LabelName
"Zion NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2022,"139,827","168,499","446,308","491,625","539,172","569,975","548,636","437,134","423,654","459,697","291,044","176,846","4,692,417",-6.9%
2021,"172,747","160,232","429,455","469,775","610,301","675,799","581,496","466,928","483,180","469,379","308,560","211,983","5,039,835",40.3%
2020,"126,994","133,718","207,400","40,396","178,194","377,425","449,518","450,183","520,987","559,342","319,853","227,244","3,591,254",-20.0%
2019,"98,828","102,269","296,316","372,349","529,553","594,896","629,802","535,322","497,443","429,604","230,180","171,706","4,488,268",3.9%
2018,"107,960","127,790","373,523","483,487","500,118","541,464","500,350","459,415","481,507","377,826","218,799","147,794","4,320,033",-4.1%
2017,"88,561","110,569","345,476","515,652","509,017","533,252","576,349","529,684","512,940","422,377","222,069","138,866","4,504,812",4.9%
2016,"84,145","117,510","359,920","395,768","447,976","544,890","599,961","477,507","497,825","412,916","232,271","124,438","4,295,127",17.7%
2015,"78,318","106,314","291,118","392,417","400,048","458,546","479,538","455,487","394,201","314,966","180,390","97,503","3,648,846",14.4%
2014,"70,862","74,625","226,424","312,381","391,969","397,753","407,153","391,973","340,855","304,108","169,607","101,986","3,189,696",13.6%
2013,"56,972","64,994","227,899","292,765","313,594","367,217","379,129","345,014","339,593","203,056","141,251","75,903","2,807,387",-5.6%
2012,"68,202","74,382","165,242","352,192","343,488","370,280","392,359","364,857","355,140","276,134","140,350","70,981","2,973,607",5.2%
2011,"64,524","67,801","164,037","255,813","325,089","376,453","391,144","360,196","324,727","273,876","145,158","76,687","2,825,505",6.0%
2010,"54,928","62,099","171,079","277,599","304,278","331,185","362,881","332,796","319,838","236,316","143,272","69,701","2,665,972",-2.5%
2009,"60,204","62,964","167,246","271,709","296,330","366,004","368,933","372,157","306,161","265,095","132,998","65,601","2,735,402",1.7%
